Source,Target,weight
Aemon Targaryen (son of Maekar I),Jaime Lannister,2
Aemon Targaryen (son of Maekar I),Daenerys Targaryen,2
Doran Martell,Jon Connington,2
Goghor the Giant,Jon Connington,2
Jon Snow,Podrick Payne,2
Goghor the Giant,Tyrion Lannister,2
Bran Stark,Ellaria Sand,2
Joffrey Baratheon,Podrick Payne,2
Areo Hotah,Roose Bolton,2
Jon Snow,Quentyn Martell,2
Doran Martell,Jaime Lannister,2
Gendry,Sansa Stark,2
Jon Snow,Qyburn,2
Jhogo,Quentyn Martell,2
Areo Hotah,Theon Greyjoy,2
Podrick Payne,Tyrion Lannister,2
Arianne Martell,Brienne Tarth,2
Jaime Lannister,Yohn Royce,2
Podrick Payne,Samwell Tarly,2
Jon Snow,Ramsay Snow,2
Arya Stark,Chett,2
Jon Snow,Randyll Tarly,2
Daenerys Targaryen,Will,2
Goghor the Giant,Jaime Lannister,2
Jocelyn Swyft,Jon Snow,1
Joanna Lannister,Tyrion Lannister,1
Jaime Lannister,Loras Tyrell,1
Joanna Lannister,Tanda Stokeworth,1
Jeyne Poole,Tyrion Lannister,1
Jocelyn Swyft,Lum,1
Jaime Lannister,Marselen,1
Jaime Lannister,Leonette Fossoway,1
Joanna Lannister,Sansa Stark,1
Jaime Lannister,Longwater Pyke,1
Jaime Lannister,Lum,1
Jeyne Poole,Varamyr,1
Joanna Lannister,Salladhor Saan,1
Jhogo,Mance Rayder,1
Jaime Lannister,Lyle Crakehall,1
Jhogo,Larraq,1
Jeyne Poole,Theon Greyjoy,1
Jhogo,Marselen,1
Jaime Lannister,Loreza Sand,1
Jeyne Westerling,Urswyck,1
Jaime Lannister,Mace Tyrell,1
Jeyne Westerling,Tyrion Lannister,1
Jaime Lannister,Maegor I Targaryen,1
Jeyne Westerling,Sansa Stark,1
Jeyne Westerling,Robb Stark,1
Jaime Lannister,Margaery Tyrell,1
Jaime Lannister,Marissa Frey,1
Jeyne Westerling,Jon Snow,1
Joanna Lannister,Jon Snow,1
Joanna Lannister,Petyr Baelish,1
Jeyne Poole,Tormund,1
Jaremy Rykker,Todder,1
Jeyne Poole,Randyll Tarly,1
Jaime Lannister,Rodrik Harlaw,1
Janos Slynt,Sansa Stark,1
Jaime Lannister,Quhuru Mo,1
Janos Slynt,Samwell Tarly,1
Janos Slynt,Ryk,1
Janos Slynt,Owen the Oaf,1
Janos Slynt,Mance Rayder,1
Janos Slynt,Kevan Lannister,1
Janos Slynt,Kegs,1
Janos Slynt,Jon Snow,1
Jaime Lannister,Rennifer Longwaters,1
Jaime Lannister,Robert Arryn,1
Jaime Lannister,Yna,1
Jaime Lannister,Yezzan zo Qaggaz,1
Jaime Lannister,Walder Rivers,1
Jaime Lannister,Pycelle,1
Jaime Lannister,Ryk,1
Jaime Lannister,Ryman Frey,1
Jaime Lannister,Varys,1
Jaime Lannister,Varamyr,1
Jaime Lannister,Urswyck,1
Jaime Lannister,Tywin Lannister,1
Jaime Lannister,Tytos Brax,1
Jaime Lannister,Tybero Istarion,1
Jaime Lannister,Tristifer Botley,1
Jaime Lannister,Snatch,1
Jaime Lannister,Tormund,1
Jaime Lannister,Tanda Stokeworth,1
Jaime Lannister,Tagganaro,1
Janos Slynt,Tyrion Lannister,1
Janos Slynt,Tywin Lannister,1
Jeyne Poole,Pate (ranger),1
Jaremy Rykker,Will,1
Jaime Lannister,Moqorro,1
Jeyne Poole,Othell Yarwyck,1
Jeyne Poole,Mully,1
Jaime Lannister,Mord,1
Jeyne Poole,Melisandre,1
Jeyne Poole,Lancel Lannister,1
Jaime Lannister,Mya Stone,1
Jeyne Poole,Kedge Whiteye,1
Jaime Lannister,Myranda Royce,1
Jeyne Poole,Jon Snow,1
Jaime Lannister,Obara Sand,1
Jaime Lannister,Oppo,1
Jaime Lannister,Oswell Kettleblack,1
Jaime Lannister,Othell Yarwyck,1
Jaime Lannister,Philip Plumm,1
Jaime Lannister,Owen Merryweather,1
Jaremy Rykker,Viserys Targaryen,1
Jaremy Rykker,Tyrion Lannister,1
Jaime Lannister,Sybelle Glover,1
Jaremy Rykker,Sansa Stark,1
Jaremy Rykker,Samwell Tarly,1
Jaime Lannister,Owen the Oaf,1
Jaremy Rykker,Pypar,1
Jaremy Rykker,Merrett Frey,1
Jaime Lannister,Pate (ranger),1
Jaime Lannister,Penny,1
Jaremy Rykker,Matthar,1
Jaremy Rykker,Jon Snow,1
Jaime Lannister,Leo Tyrell (son of Moryn),1
Harsley,Stannis Baratheon,1
Jaime Lannister,Larraq,1
Emrick,Melisandre,1
Euron Greyjoy,Victarion Greyjoy,1
Euron Greyjoy,Jaime Lannister,1
Erik Ironmaker,Victarion Greyjoy,1
Erik Ironmaker,Jaime Lannister,1
Erik Ironmaker,Euron Greyjoy,1
Emrick,Varamyr,1
Emrick,Tyrion Lannister,1
Emrick,Tormund,1
Emrick,Theon Greyjoy,1
Emrick,Randyll Tarly,1
Emrick,Pate (ranger),1
Emrick,Othell Yarwyck,1
Emrick,Mully,1
Emrick,Lancel Lannister,1
Fletcher Dick,Jaime Lannister,1
Emrick,Kedge Whiteye,1
Emrick,Jon Snow,1
